resource_id,resource_type,iam_role,vpc_cidr,created_at,team
i-0d128969344fa149f,ec2,arn:aws:iam::527055790843:instance-profile/backend-svc-profile,vpc-04be892954486730c,2026-05-05T17:36:37+00:00,backend
i-0ab36e76003fecdc3,ec2,arn:aws:iam::527055790843:instance-profile/data-pipeline-profile,vpc-023f23c9595fa94dd,2026-05-05T17:36:37+00:00,data
i-07462d7921cb3c466,ec2,arn:aws:iam::527055790843:instance-profile/ml-training-profile,vpc-0a12a0357a11f4ae9,2026-05-05T17:36:31+00:00,ml
i-0ae5ab12305f910af,ec2,arn:aws:iam::527055790843:instance-profile/ml-training-profile,vpc-0a12a0357a11f4ae9,2026-05-05T17:36:37+00:00,ml
i-0c2c7a3998ab4e067,ec2,arn:aws:iam::527055790843:instance-profile/data-pipeline-profile,vpc-023f23c9595fa94dd,2026-05-05T17:36:31+00:00,data
i-0d75f2c09b4453425,ec2,arn:aws:iam::527055790843:instance-profile/backend-svc-profile,vpc-04be892954486730c,2026-05-05T17:36:37+00:00,backend
i-02a24ac56fa9ecc30,ec2,arn:aws:iam::527055790843:instance-profile/costdna-synth-simulator-profile,vpc-0b66d5b8847c4b486,2026-05-07T15:48:53+00:00,
costdna-synth-backend,rds,,vpc-04be892954486730c,2026-05-04T07:12:25.646000+00:00,backend
costdna-synth-data,rds,,vpc-023f23c9595fa94dd,2026-05-04T07:12:02.435000+00:00,data
costdna-synth-ml,rds,,vpc-0a12a0357a11f4ae9,2026-05-04T07:12:07.132000+00:00,ml
ml-training-fn,lambda,arn:aws:iam::527055790843:role/ml-training-role,,2026-05-04T07:08:53.027+0000,ml
billing-export-2018,lambda,arn:aws:iam::527055790843:role/legacy-2019-billing-export-role,,2026-05-04T03:40:03.972+0000,
backend-svc-fn,lambda,arn:aws:iam::527055790843:role/backend-svc-role,,2026-05-04T07:08:58.842+0000,backend
myFunction-2,lambda,arn:aws:iam::527055790843:role/lambda_basic_execution_console,,2026-05-04T03:40:15.461+0000,
DatadogForwarder-63e91312,lambda,arn:aws:iam::527055790843:role/DatadogIntegrationRole-63e91312,,2026-05-04T07:08:47.289+0000,
test-deploy-v3,lambda,arn:aws:iam::527055790843:role/lambda_basic_execution_console,,2026-05-04T03:40:09.723+0000,
alice-smith-test-fn,lambda,arn:aws:iam::527055790843:role/deleted-user-alice.smith-role,,2026-05-04T03:45:21.171+0000,
data-pipeline-fn,lambda,arn:aws:iam::527055790843:role/data-pipeline-role,,2026-05-04T07:09:04.650+0000,data
alice-smith-personal-bucket-63e91312,s3,,,2026-05-04T03:39:55+00:00,
cloudflare-access-logs-63e91312,s3,,,2026-05-04T03:39:55+00:00,
costdna-synth-backend-63e91312,s3,,,2026-05-04T03:39:55+00:00,backend
costdna-synth-cloudtrail-63e91312,s3,,,2026-05-04T03:39:55+00:00,
costdna-synth-data-63e91312,s3,,,2026-05-04T03:39:55+00:00,data
costdna-synth-ml-63e91312,s3,,,2026-05-04T03:39:56+00:00,ml
old-billing-bucket-2019-63e91312,s3,,,2026-05-04T03:39:55+00:00,
