lineItem/UsageAccountId,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/ResourceId,lineItem/UnblendedCost,lineItem/UsageType,lineItem/Operation,resourceTags/user:team,resourceTags/user:environment
111122223333,2026-05-25T00:00:00,2026-05-26T00:00:00,AmazonCloudWatch,log-group-devops-logs-002,0.761800,PutLogEvents,,,
111122223333,2026-05-19T00:00:00,2026-05-20T00:00:00,AmazonS3,mlops-fs-003,0.898500,TimedStorage-ByteHrs,,,
111122223333,2026-05-31T00:00:00,2026-06-01T00:00:00,AmazonEC2,i-3b6762d2,1.001500,BoxUsage:t3.medium,RunInstances,,
111122223333,2026-05-19T00:00:00,2026-05-20T00:00:00,AmazonRedshift,redshift-cluster-f710,12.325000,Node:dc2.large,,data,prod
111122223333,2026-05-19T00:00:00,2026-05-20T00:00:00,AmazonEC2,i-4b0e41bb,3.023600,BoxUsage:t3.medium,RunInstances,backend,prod
111122223333,2026-05-13T00:00:00,2026-05-14T00:00:00,AmazonEC2,i-8881f019,0.877900,BoxUsage:t3.medium,RunInstances,,
111122223333,2026-05-25T00:00:00,2026-05-26T00:00:00,AmazonEC2,i-8881f019,1.247500,BoxUsage:t3.medium,RunInstances,,
111122223333,2026-05-01T00:00:00,2026-05-02T00:00:00,AmazonEC2,i-0a01d162,1.177800,BoxUsage:t3.medium,RunInstances,,
111122223333,2026-05-19T00:00:00,2026-05-20T00:00:00,AmazonEC2,i-968604f2,6.533600,BoxUsage:t3.medium,RunInstances,data,prod
111122223333,2026-05-25T00:00:00,2026-05-26T00:00:00,AmazonS3,mlops-fs-002,0.902500,TimedStorage-ByteHrs,,,
111122223333,2026-05-19T00:00:00,2026-05-20T00:00:00,AmazonEKS,arn:aws:eks:us-east-1:111122223333:cluster/devops-eks-002,2.908000,AmazonEKS-Hours:cluster,,platform,prod
111122223333,2026-05-31T00:00:00,2026-06-01T00:00:00,AmazonCloudWatch,log-group-devops-logs-001,1.103900,PutLogEvents,,platform,prod
111122223333,2026-05-07T00:00:00,2026-05-08T00:00:00,AmazonEC2,i-657b9664,0.919300,BoxUsage:t3.medium,RunInstances,,
111122223333,2026-05-19T00:00:00,2026-05-20T00:00:00,AmazonS3,orphan-bucket-000,0.332200,TimedStorage-ByteHrs,,,
111122223333,2026-05-31T00:00:00,2026-06-01T00:00:00,AmazonEC2,i-f6558f02,4.268800,BoxUsage:t3.medium,RunInstances,backend,prod
